"1","PyCON Taiwan",\N,\N,\N
"2","RubyConf Taiwan",\N,\N,\N
"4","Java Developer Day",\N,\N,\N
"5","JavaScript Developers Conference Taiwan","JSDC.tw","JSDC",""
"8","PHPConf Taiwan",\N,\N,\N
"9","DrupalCamp Taipei",\N,\N,\N
"10","WebConf Taiwan",\N,\N,\N
"11","台灣駭客年會","Hacks In Taiwan Conference","HITCON",""
"12","台灣誘捕網路技術研討會","The Honeynet Project Taiwan Conference","HoneyCon",\N
"13","Maker Faire : Taipei",\N,\N,\N
"14","開源人年會","Conference for Open Source Coders, Users and Promoters","COSCUP",""
"15","Open Source Developers' Conference",\N,"OSDC",""
"16","學生計算機年會","Students' Information Technology Conference ","SITCON",""
"17","行動科技應用開發者年會","Mobile / Open / Platform Conference","MOPCON",""
