"1","酷！學園","Study Area","SA","","1"
"2","Debian 台灣使用者社團","Debian Taiwan User Group",\N,"debian.tw","2"
"3","Ubuntu 正體中文站",\N,\N,\N,"4"
"4","Ubuntu 正體中文社團",\N,\N,\N,"4"
"5","Ubuntu-TW 在地推廣組",\N,\N,\N,"4"
"6","Arch Linux 中文",\N,\N,\N,"5"
"7","openSUSE 正體中文社團",\N,\N,\N,"6"
"8","LINUX MINT 中文社團",\N,\N,\N,"7"
"9","Fedora 中文社團",\N,\N,\N,"8"
"10","Taipei.py",\N,\N,\N,"10"
"11","Python Hsinchu User Group","PyHUG","PyHUG","","10"
"12","Python Tainan User Group","Tainan.py",\N,\N,"10"
"13","Python Taiwan",\N,\N,\N,"10"
"14","PyLadies Taiwan",\N,\N,\N,"10"
"15","Ruby Taiwan",\N,\N,\N,"11"
"16","Ruby on Rails 讀書會",\N,\N,\N,"12"
"17","Rails Girls Taiwan",\N,\N,\N,"12"
"18","Rails meetup @Tainan ",\N,\N,\N,"12"
"19","Kaohsiung Rails Meetup",\N,\N,\N,"12"
"20","Perl台灣",\N,\N,\N,"13"
"21","JavaScript.tw",\N,"JSTW",\N,"14"
"22","Taipei Javascript Enthusiasts",\N,\N,\N,"14"
"23","jQuery 台灣",\N,\N,\N,"15"
"24","node.js台灣","Node.js Taiwan",\N,\N,"16"
"25","AngularJS.tw",\N,\N,\N,"17"
"26","Ext JS 正體中文站",\N,\N,\N,"18"
"27","PHP 台灣",\N,\N,\N,"19"
"28","PHP 也有 Day",\N,\N,\N,"19"
"29","Taiwan R User Group",\N,\N,\N,"20"
"30","Qt Taiwan",\N,\N,\N,"21"
"31","Android 台灣開發者社群","Android-Dev Taiwan","ADT",\N,"23"
"32","Samsung Developer Community Taiwan",\N,\N,\N,"23"
"33","iOS Dev Club",\N,\N,\N,"24"
"34","CocoaHeads Taiwan",\N,\N,\N,"26"
"35","CocoaHeads Taipei",\N,\N,\N,"26"
"36","CocoaHeads Kaohsiung",\N,\N,\N,"26"
"37","Golang 台灣社群","Golang Taipei Gathering","GTG","","27"
"38","Functional Thursday",\N,\N,\N,"28"
"39","Processing.Taipei",\N,\N,\N,"29"
"40","Puredata.Taipei",\N,\N,\N,"30"
"41","台灣 Blender 使用者小聚","Taiwan Blender User Group",\N,\N,"31"
"42","Taipei WordPress Meetup",\N,\N,\N,"34"
"43","Drupal Taiwan",\N,\N,\N,"37"
"44","KDE Taiwan",\N,\N,\N,"39"
"45","OOo台灣社群",\N,\N,\N,"40"
"46","Apache OpenOffice 台灣社群",\N,\N,\N,"40"
"47","LibreOffice 正體中文使用者社團",\N,\N,\N,"41"
"48","Openframeworks Notebook",\N,\N,\N,"43"
"49","企鵝龍","Diskless Remote Boot in Linux","DRBL",\N,"44"
"50","HTML5 與 CSS3 在台灣","HTML5&CSS3 IN TAIWAN",\N,\N,"35"
"51","RGBA 網路設計師聚會",\N,\N,\N,"47"
"52","Front-End Developers Taiwan",\N,\N,\N,"47"
"53","高雄前端社群","Kaohsiung Front-End Community",\N,\N,"47"
"54","HappyDesigner 快樂設計師",\N,\N,\N,"35"
"55","Belp","Businiess, Entrepreneurship, Legal, Programming / Professional",\N,\N,"52"
"56","自由開源軟體法律授權及產業動態新聞群組","FOSS licensing & Inudustry News Group",\N,\N,"52"
"57","chrO.ot",\N,\N,\N,"55"
"58","台灣雲端運算社群","Taiwan Cloud Computing User Group","CloudTW",\N,"56"
"59","Taiwan Hadoop User Group",\N,\N,\N,"60"
"60","AWS User Group in Taiwan","AWSUG in Taiwan",\N,\N,"61"
"61","星系統社群","JuluOSDev",\N,"","62"
"62","Code for Tomorrow",\N,\N,\N,"63"
"63","Code for Kaohsiung",\N,\N,\N,"63"
"64","零時政府","g0v","","g0v.tw","63"
"65","Openlab.Taipei",\N,\N,\N,"65"
"66","Fablab Taipei",\N,\N,\N,"66"
"67","FabCafe Taipei",\N,\N,\N,"66"
"68","Fablab Tainan",\N,\N,\N,"66"
"69","MakerBar Taipei",\N,\N,\N,"66"
"70","Fablab Dynamic",\N,\N,\N,"66"
"71","Dimension+",\N,\N,\N,"65"
"72","Taipei Hackerspace",\N,\N,\N,"66"
"73","Arduino.Taipei",\N,\N,\N,"128"
"74","Reprap.Taipei",\N,\N,\N,"68"
"75","Taiwan 3D Printing",\N,\N,\N,"69"
"76","Raspberry Pi社群",\N,\N,\N,"70"
"77","DIY CNC Machine.Taipei",\N,\N,\N,"71"
"78","RoboSmart.Taipei",\N,\N,\N,"72"
"79","自由軟體鑄造場","Open Source Software Foundry ","OSSF","","73"
"80","台北開放原始碼軟體使用者社群","Taipei Open Source Software User Group ","TOSSUG","","73"
"81","嘿嘿星期四","Hacking Thursday","H4","","73"
"82","新竹碼農聚會","Hsinchu Coding Serfs Meeting",\N,\N,"73"
"83","台中自由軟體愛好者聚會","Taichung Foss Fans Meeting","TCFFM","","73"
"84","中台灣 Linux 使用者聚會 ","Central Taiwan Linux User Group ","CTLUG","","73"
"85","大高雄Linux使用者協會","Kaohsiung Linux User Group ","KaLUG","","73"
"86","高雄軟體開發者社群","Kaohsiung Software Developer Group ","KSDG","","79"
"87","Meet Open Source Users in Tainan",\N,"MOSUT","","73"
"88","OpenHack Taipei",\N,\N,\N,"73"
"89","Mozilla 台灣社群","Mozilla Taiwan Community","Moztw","","74"
"90","台灣女子自由軟體工作小組","Women in Free and Open Source Software in Taiwan","WoFOSS","","73"
"91","開放原始碼新聞網","Open source software news in Taiwan",\N,\N,"73"
"92","台灣維基人臺北定期聚會",\N,"WPTP","","75"
"93","維基百科台灣社群台中聚會",\N,"WPTC","","75"
"94","OpenStreetMap 台灣",\N,\N,\N,"76"
"95","程式人雜誌",\N,\N,\N,"73"
"96","Google Technology User Group","","GTUG Taipei",\N,"77"
"97","ezgo",\N,\N,\N,"78"
"98","國際遊戲開發者協會","International Game Developers Association","IGDA Taiwan","","79"
"99","獨立遊戲開發者分享會","","IGDSHARE","","79"
"100","Taiwan Java User Group","","TWJUG","","80"
"101","花蓮.py",\N,\N,\N,"10"
"102","I Love Joomla!",\N,\N,\N,"81"
"103","The Honeynet Project 台灣分會","The Honeynet Project Taiwan Chapter","",\N,"55"
"104","臺灣維基人新竹聚會",\N,"WPHC",\N,"75"
"105","台灣維基社群","Taiwan Wikipedia Community",\N,\N,"75"
"106","高雄獨立遊戲開發者聚會","Kaohsiung Indies Meet Up","KIMU",\N,"79"
"107","台灣遊戲App開發者社群","Taiwan Game App Developer Community","TGADC",\N,"79"
"108","台灣App開發者社群",\N,"AppDC",\N,"22"
"109","Android Taipei",\N,\N,\N,"23"
"110","Ruby on Rails 新手村",\N,\N,\N,"12"
"111","社團法人台灣互動設計協會","Interaction Design Association","IxDA Taiwan",\N,"65"
"112","Laravel 台灣",\N,\N,\N,"82"
"113","LaunchPad互動裝置",\N,\N,\N,"83"
"114","硬派Pi製作",\N,\N,\N,"70"
"115","QTxTW",\N,\N,\N,"21"
"116","Docker Taipei",\N,\N,\N,"84"
"117","HTML5Rocks@Taipei",\N,\N,\N,"45"
"118","臺灣樹莓派正體中文社群","Raspberry Pi@TW","RPi@TW",\N,"67"
"119","台中前端社群",\N,\N,\N,"0"
"120","台灣 NoSQL","NoSQL Taiwan",\N,\N,"33"
"121","S4A",\N,\N,\N,"9"
"122","Scrum Community in Taiwan",\N,\N,\N,"9"
"123","Debian 中文社團",\N,\N,\N,"2"
"124","台東自由軟體愛好社群",\N,\N,\N,"73"
